token	freq	docs
équip	255	67068,67383,67385,67386,67554,67555,67556,67557,67799,67801,67802,67937,67939,67940,67941,67944,67945,68273,68274,68277,68279,68280,68281,68283,68384,68385,68387,68388,68390,68391,68392,68639,68640,68643,68644,68646,68881,68883,68887,69177,69183,69533,69534,69536,69537,69539,69541,69811,69812,69813,69819,70161,70162,70163,70166,70167,70420,70421,70423,70426,70743,70745,70751,70914,70915,70916,70917,70919,70921,70922,71357,71358,71359,71612,71615,71835,71836,71837,71843,72114,72115,72116,72117,72118,72392,72396,72629,72631,72634,72933,72934,72937,73184,73186,73188,73189,73190,73430,73432,73433,73436,73683,73688,73689,73875,73876,73877,74167,74168,74170,74171,74172,74173,74176,74450,74453,74454,74455,74744,74745,74748,74749,75063,75064,75065,75067,75069,75459,75460,75462,75788,75789,75790,75791,75792,75793,75795,75797,76206,76210,76211,76212,76507,76513
ne	252	67068,67383,67386,67388,67389,67391,67553,67554,67555,67558,67794,67795,67798,67801,67802,67938,67939,67940,67941,67942,68273,68276,68383,68387,68389,68638,68643,68644,68881,68882,68883,68885,68887,69177,69183,69184,69533,69534,69535,69538,69539,69812,69813,69821,70161,70162,70166,70420,70421,70422,70423,70429,70744,70745,70747,70749,70915,70916,70917,70921,70923,71357,71614,71617,71618,71621,71835,71836,71841,71842,72113,72114,72115,72392,72394,72396,72629,72631,72634,72635,72636,72932,72933,72934,72937,72938,73182,73185,73430,73432,73433,73434,73436,73683,73684,73687,73875,73876,73877,73879,74167,74168,74169,74172,74173,74449,74450,74451,74453,74455,74457,74744,74745,74749,74750,74752,75063,75069,75457,75458,75459,75788,75789,75790,75792,76206,76209,76210,76213,76508,76509,76511
se	251	67068,67385,67389,67553,67558,67937,67939,67946,68273,68274,68276,68279,68281,68383,68384,68386,68387,68391,68392,68643,68645,68881,68883,68885,68888,69179,69181,69184,69534,69540,69812,69813,69815,69817,69821,70161,70162,70164,70165,70166,70167,70169,70170,70421,70422,70425,70426,70744,70746,70747,70748,70749,70753,70914,70915,70916,70923,71357,71359,71361,71362,71612,71614,71615,71616,71620,71835,71836,71837,71842,71843,72113,72114,72392,72394,72396,72400,72629,72630,72631,72632,72633,72634,72636,72932,72933,72935,72938,72940,73182,73185,73190,73430,73432,73435,73437,73438,73683,73684,73685,73875,73876,73878,73879,74170,74450,74451,74453,74455,74744,74745,74746,74747,74748,74749,75065,75066,75069,75071,75458,75459,75461,75462,75788,75789,75792,76206,76207,76213,76507,76509,76510,76511,76515,76516
on	229	67068,67383,67387,67388,67391,67555,67558,67795,67798,67801,67937,67942,67945,68274,68276,68383,68387,68388,68390,68391,68638,68642,68646,69179,69535,69811,69815,69816,69817,69821,70166,70420,70421,70422,70424,70425,70743,70745,70746,70749,70917,71357,71359,71363,71614,71618,71621,71835,71837,71840,71841,71842,71843,72113,72115,72116,72119,72392,72393,72397,72629,72630,72631,72632,72635,72636,72932,72933,72934,72938,73182,73183,73185,73188,73190,73430,73431,73432,73434,73435,73683,73684,73687,73876,73877,73879,73880,73882,74167,74168,74169,74176,74450,74454,74457,74744,74746,74750,74752,75063,75457,75458,75459,75462,75789,75790,75792,76206,76209,76210,76507,76508,76509,76511,76512,76513,76514
différent	217	67383,67387,67388,67389,67390,67554,67555,67794,67795,67798,67803,67938,67939,68275,68278,68279,68283,68387,68388,68390,68640,68641,68643,68645,68882,68884,68886,69177,69178,69182,69184,69534,69535,69537,69538,69539,69541,69813,69816,69819,70161,70162,70163,70166,70168,70420,70421,70422,70423,70424,70743,70745,70751,70916,70919,70921,71357,71358,71359,71361,71614,71617,71838,72113,72114,72117,72122,72392,72393,72394,72396,72397,72398,72400,72629,72631,72633,72634,72932,72933,72937,72939,73182,73185,73189,73430,73431,73684,73685,73690,73691,73875,73876,73877,73879,73880,74168,74173,74449,74450,74455,74745,74746,74751,75063,75067,75457,75458,75462,75463,75788,75789,75790,75792,75793,75794,76206,76209,76213,76507,76508,76509,76511,76515,76516
industriel	214	67068,67383,67385,67386,67388,67392,67553,67554,67555,67557,67558,67798,67945,67946,68273,68274,68275,68276,68278,68280,68383,68390,68392,68393,68641,68642,68881,68882,68885,68888,69179,69534,69535,69541,69815,69817,69818,69819,70161,70166,70167,70170,70420,70422,70426,70748,70749,70752,70753,70914,70915,70917,70921,70923,71358,71359,71360,71361,71362,71363,71614,71615,71839,71840,72113,72114,72116,72392,72393,72394,72396,72399,72629,72634,72933,72936,72937,72938,73183,73188,73190,73430,73432,73434,73436,73685,73875,73876,73879,73882,73884,74167,74168,74172,74174,74450,74455,74456,74744,74746,74747,75065,75068,75071,75457,75462,75464,75465,75790,75791,75792,75793,75794,75795,75796,76207,76211,76213,76508,76511,76514
system	207	67071,67383,67385,67387,67390,67556,67557,67796,67937,67939,67940,67945,68274,68276,68277,68279,68388,68393,68644,68881,68882,68883,68886,68887,69177,69178,69179,69180,69181,69533,69535,69538,69811,69814,69817,69818,69820,70162,70163,70165,70168,70420,70421,70424,70425,70426,70744,70916,70919,70922,71358,71359,71362,71363,71366,71614,71620,71836,71838,71839,72116,72631,72633,72635,72637,72937,73185,73187,73189,73190,73434,73683,73686,73877,73879,74171,74453,74456,74746,74751,75064,75067,75071,75463,75788,75789,75791,75794,75796,76207,76213,76507,76511
an	205	67068,67383,67389,67391,67555,67557,67794,67795,67798,67799,67937,67939,67945,68274,68275,68279,68383,68384,68392,68393,68641,68643,68645,68646,68881,68888,69177,69186,69534,69536,69811,69812,69813,69817,70163,70164,70422,70426,70428,70743,70749,70914,70916,70923,71357,71358,71359,71360,71362,71366,71614,71836,71837,71840,71841,72113,72114,72118,72394,72395,72397,72398,72630,72636,72637,72932,72933,72939,73182,73184,73185,73430,73432,73433,73434,73437,73683,73684,73685,73875,73877,74167,74168,74169,74175,74449,74450,74451,74453,74454,74455,74744,74745,74746,74749,74751,74752,75063,75065,75066,75068,75071,75457,75458,75459,75789,75790,75792,75793,76207,76208,76213,76507,76509,76511,76512
particuli	204	67068,67383,67389,67553,67555,67558,67795,67800,67937,67938,67939,68273,68274,68276,68383,68387,68388,68389,68645,68881,68882,68885,68886,69177,69178,69184,69185,69533,69534,69536,69811,69812,69813,69814,69816,69820,69821,70161,70162,70164,70169,70420,70421,70422,70745,70749,70914,70916,71357,71358,71359,71360,71612,71614,71619,71621,71835,71836,71842,72113,72115,72116,72120,72393,72396,72399,72629,72634,72932,72934,72936,72938,73182,73183,73184,73185,73430,73431,73432,73434,73437,73683,73684,73687,73691,73875,73876,73877,73878,74168,74169,74172,74450,74453,74455,74744,74746,74750,74752,75063,75065,75069,75457,75458,75464,75465,75466,75788,75789,75790,75792,75793,75795,76206,76213,76507,76511,76516
environ	196	67071,67385,67389,67554,67555,67794,67799,67801,67804,67938,68275,68279,68281,68283,68387,68388,68643,68645,68646,68881,68882,68885,68886,69177,69186,69533,69535,69536,69538,69811,69812,69813,69816,69818,70161,70163,70164,70165,70169,70170,70420,70421,70422,70424,70425,70429,70743,70744,70745,70746,70915,70919,71357,71359,71362,71363,71612,71617,71621,71838,71842,72115,72116,72117,72392,72393,72395,72397,72398,72635,72934,72937,72938,72939,73184,73188,73430,73431,73432,73433,73435,73436,73684,73687,73690,73875,73877,73878,73879,73880,74173,74449,74453,75064,75065,75067,75070,75071,75458,75462,75463,75792,75794,75795,76208,76209,76210,76211,76511,76513,76514
