    token	freq	docs
depuis	176	67939,73434,74749,75457,74167,73436,72933,72932,73184,69537,71620,76211,73432,71621,72114,71838,73183,76206,72935,72934,73431,73182,72115,68274,73683,69817,76512,76507,68275,72629,68881,68883,67795,69814,76511,67385,70161,68276,67794,67555,68882,69811,73685,73875,67800,76514,75791,69186,73684,70428,68885,69812,73876,70166,75793,67383,75792,70167,67802,73877,69813,70749,70744,72392,69177,74457,70745,72636,71840,73879,74455,70169,74454,67945,68643,72394,70420,76509,74451,73882,70421,72630,68279,72396,72631,68641,70914,72939,69539,71362,70917,75462,71837,68383,71836,71359,74745,68387,67937,74744,75466,71366,71616,74746,68384,68385,75459,74747,71617
devoir	175	67939,73435,68389,70920,68638,74167,73185,72933,69533,74176,76211,76210,73432,71621,72114,73430,75069,72935,76213,75068,73431,68274,69181,73683,69817,70163,67386,67387,70162,76507,68275,68881,67795,69814,76511,75795,67391,75794,74449,70161,69183,68276,72399,67794,68886,70165,72940,70164,67801,73684,69812,69184,75793,75792,69185,69813,68884,67553,72392,69177,74457,71842,72634,70747,71840,70425,73689,75789,73688,72637,72394,67941,76509,67388,70421,67798,67942,73880,74453,70422,68279,72396,69538,70914,67071,75071,75065,71835,71612,71362,75462,71837,76208,68383,75463,70916,71359,74745,68387,75063,73188,67937,74744,75466,71614,71358,75464,75458,74169,68391
utiliser	174	68388,67939,73435,73434,71357,68638,70922,73436,72933,72932,73184,69533,69537,69534,72114,70918,72934,76207,72115,67796,69181,73683,67386,67387,70162,76507,67797,68881,68883,67554,76511,67385,67390,75794,69183,69540,70429,69178,69811,67800,70165,75791,69186,69812,70166,75792,76516,70167,73877,70744,68645,71843,70426,69177,72393,68644,72634,70747,68646,75788,75789,73878,68280,67558,71845,67941,70420,74450,67388,69819,70421,72632,68642,67942,72397,70423,68641,70914,75065,75070,71612,69539,71837,75066,76208,75067,70916,71359,74745,73189,73188,67937,74744,74750,71616,68390,74168,68385,71617
scientifique	172	67939,74170,73186,73434,68638,75457,72932,69533,72113,68639,71620,72936,69536,69534,72114,73183,76206,72934,76213,71839,67068,70919,72115,67557,73683,69817,76512,67387,69816,69180,68275,72398,68277,76511,74449,70161,69815,67794,67555,69811,73685,75790,72940,76515,73690,69812,69184,67803,75793,67383,67802,73877,69813,68884,70749,74457,72393,72634,73689,75789,69820,70424,68643,72633,72394,70420,73883,74450,67388,68642,67942,73880,74453,68279,67943,72396,71363,70914,67071,72939,71612,75460,70917,75462,71837,68383,70916,71361,71359,68387,75063,67937,68386,71614,71358,72121,75464,71616,68384,74168,75459
français	171	67939,73186,67938,71357,68638,71619,74167,72933,72932,73437,69533,72113,69537,72936,69536,69534,72114,71838,73430,75069,72935,72934,73431,73182,71839,67068,69535,68274,69181,73683,69817,70163,76512,67392,69816,69180,72629,68881,69814,70161,68276,73875,70165,67801,73684,69179,70748,68885,69812,75792,73687,67553,72392,68283,72393,68888,70751,70753,69821,74455,75788,70424,70752,72633,70420,69818,73880,74453,74452,70422,68279,67943,72396,68641,70914,72938,71835,71612,75460,76209,76208,68383,71836,71359,71615,74745,71614,71358,71366,74746,75458,74752
université	168	68389,70920,70922,75457,73185,72932,73184,69533,72117,71621,72116,69536,72114,74175,73430,76206,76212,73431,73182,67068,73683,75796,67386,69816,69180,68275,68881,68883,68277,69182,69814,76511,70161,69183,68276,69540,69178,73685,67800,69179,70748,69812,73876,70166,73877,68884,71842,68644,68888,72634,67561,67944,73689,73879,75788,73878,70424,67945,71841,72394,67799,76509,67389,67940,68278,70422,73881,72631,70914,67071,75065,72938,75070,75460,69539,72119,71362,71360,75067,71361,73189,75063,73188,67937,68392,71614,72121,75464,71616,74746,75458,74752,68384
pôle	166	70921,73434,68638,71619,74749,73184,74172,74748,73433,72116,69534,75069,75068,73431,71839,69817,75796,70162,76507,67795,68277,76511,75795,74449,67555,73691,73685,73875,70428,68273,68885,69812,70166,75793,75792,73877,73687,68884,69542,71842,67946,72634,70745,67561,73879,74455,75789,70752,68643,71845,72394,67799,70420,69818,76509,67388,76508,70421,67798,74453,68279,72396,72631,72938,70915,71360,75462,76209,71359,68387,68393,71358,74746,74169,75465
institut	162	68388,71357,68638,70922,74173,73436,72933,72932,71620,76211,69534,73183,73430,75068,76207,67068,70919,72115,76512,69180,68275,67556,68881,72398,68277,69814,67390,75794,70161,69183,68276,72399,67794,68886,69178,69186,68273,68887,70748,68885,73686,73876,75792,70167,67802,73877,73687,72635,70744,68283,72393,70751,72634,70745,70753,70747,68646,67561,71840,70168,73688,70424,67945,67799,73883,67389,67388,74451,69819,67940,72397,74453,74452,73881,72396,68641,75065,72939,75064,75070,71835,71612,69539,71362,71360,75463,70916,71615,73189,68392,71614,71358,72121,71616,75458,74168,74169,68391,75459
différent	159	70921,68388,67939,67938,71357,75457,73185,72933,72932,72113,72937,69534,72114,71838,73430,76213,73431,73182,70919,69535,70163,70162,76507,68275,72629,67554,72398,67795,69182,76511,67390,75794,74449,70161,67794,67555,68882,68886,69178,73691,73685,75790,76515,73684,73690,69541,73876,75793,67383,75792,76516,73877,69813,68884,68645,72392,69177,68283,72393,70751,72634,70745,73879,74455,75788,75789,70168,68643,72633,72394,76509,67389,76508,69819,67798,70743,68640,72397,73880,68278,70422,68279,72631,69538,72939,69539,75462,76209,75067,70916,71361,72122,71359,74751,74745,68387,75063,71358,74746,68390,71617
cadre	157	70921,73186,73435,74171,68638,74749,73184,69533,72117,69537,73433,73432,69536,70918,72935,72934,75068,76207,73431,73182,74174,69535,73683,69817,67386,76513,70162,69816,68275,72629,72398,67795,68277,69814,76511,67385,75794,74449,68882,69178,69811,73685,73875,75790,70164,73684,69179,69541,68885,69812,73876,75793,73877,73687,70749,69177,72634,70745,70753,68646,73879,75789,74454,68280,70424,71841,68643,72394,67799,70420,73883,69818,67388,70421,67940,70743,72630,67942,74453,70422,73881,72631,71363,69538,75064,71612,75460,71362,71360,76209,68383,71359,74751,68387,68393,74744,74750,71358,75464,71616,74746,75458,74752,68384,74168,68385,75459
autant	156	67939,73434,68389,68638,74749,75457,74167,73185,72933,72932,73184,74172,72113,69537,76210,71621,72116,72114,74175,73183,73430,72935,72934,76213,73182,67068,67557,69181,73683,67386,69816,72629,68883,72401,76511,75794,70161,69183,67794,73685,73875,72940,67801,69812,69184,73876,75793,67383,75792,73877,69813,73687,67553,70749,70744,69177,74457,72393,71842,72634,70745,72636,71840,73879,70169,74454,69820,73688,67558,70420,69818,76509,76508,67798,70422,72631,70914,75461,75065,72938,75070,71835,71612,70915,71837,76209,75066,68383,75463,70916,74745,75063,73188,67937,74744,71614,75464,74746,74752,68390,74168,74169,68391,75459
encore	156	73434,73187,74171,67938,71357,68638,75457,73185,73436,72932,72113,68639,69534,73183,73430,75069,72935,76213,73182,67068,67557,68274,73683,70163,75796,75797,69816,68275,72629,67554,67795,69182,69814,76511,67391,74449,70161,67555,68882,69540,69178,69811,73685,73875,70165,72940,69186,73684,68887,73686,70166,75792,69813,73687,67553,70749,72635,70744,68889,71843,72392,68283,72393,71842,70745,72636,68646,73879,74455,74454,70424,68643,67941,70420,74450,67389,70421,67798,67940,72632,72397,73880,75071,75065,71612,71360,76209,76208,75067,68383,71836,75463,71359,71615,74751,74745,68387,73189,74750,71614,71358,71366,75458,74169,75459,71617
notamment	154	70921,67939,73434,74749,75457,74167,74173,73185,73436,73184,73190,69533,72113,76211,72937,73432,72116,69536,72114,75069,76207,73431,72115,73683,76512,67387,76507,69816,69180,67556,72629,67554,72401,76511,67385,75794,68276,67794,73685,73875,76514,75790,69186,73684,70428,68273,68887,70748,73876,70166,67383,75792,67802,68884,69542,67553,69177,72393,71842,68644,70751,70745,71840,69821,73879,75788,75789,70424,71841,70420,74450,67798,67940,70743,67942,70423,74452,73881,72396,72631,70914,67071,75064,71612,70917,76209,76208,75067,68383,71836,75463,70916,71361,72122,68387,75063,67937,74750,71358,71616,74746,75458,74752,75459
celui	153	73186,73434,74171,68389,71357,68638,74749,75457,74167,73185,73436,72932,73190,74748,69533,72113,69537,72937,73432,72116,69536,72114,73430,75069,76206,72934,76213,75068,73431,67068,67557,73683,69817,69816,68275,67554,72401,67795,76511,67391,74449,68276,67794,69540,68886,69811,73875,70164,73684,68273,68887,68885,67383,70167,69185,73687,70749,69177,68644,72634,70745,70425,69821,73879,75789,70168,69820,68280,70424,68643,72633,72394,70420,76509,67389,69819,70421,72397,70423,70422,73881,68279,72631,72118,70914,67071,75065,71835,69539,70917,76209,75067,75463,71359,71615,68387,75063,67937,74744,74746,74168,75459
travailler	152	73434,68638,75457,73185,72933,72932,74172,69533,72113,72936,73432,72116,72114,76206,73431,67068,72115,73683,76507,68881,67554,76511,67385,75795,74449,70161,68886,73685,73875,75790,75791,73684,68273,69541,68885,69812,73876,70166,75793,67383,75792,67802,73877,67553,72393,71842,72634,70745,72636,67944,71840,75788,75789,68643,72394,76509,74450,74451,76508,70421,72395,67940,72630,67942,74453,70422,68279,72631,68641,75064,71835,71612,75067,68383,71361,71359,68387,68393,75063,67937,71614,71358,74752,74168,74169,75459
afin	152	70921,74170,73186,70920,71619,74749,75457,72933,72932,73184,76211,72937,69534,72114,73183,75069,76213,75068,76207,72115,67557,69181,73683,70163,67386,67387,70162,69816,68275,67797,72629,75794,74449,70161,67794,68882,69540,70429,69178,69811,73691,75790,75791,70170,73684,68887,73876,70166,75793,67383,75792,73877,69813,68884,67553,70749,72635,69177,73884,71842,72634,70425,75788,75789,74454,67558,71845,72394,74450,67389,76508,69819,70421,67940,72630,72397,73880,74452,70422,68279,69538,72118,75065,75064,75070,71612,69539,72119,76209,75066,70916,71359,75063,74744,71366,75458,74168,74169,74747,71617,75465
particulier	148	68388,67939,73434,71357,71619,75457,73185,72932,73437,73184,74172,69533,72113,72936,73432,71621,72116,69536,69534,73183,73430,75069,76206,72934,76213,73431,73182,72115,73683,76507,72629,68881,67795,69814,76511,70161,68276,72399,67555,68882,68886,69178,69811,73691,73875,67800,70164,73684,68273,68885,69184,73876,75793,67383,75792,76516,73877,69813,73687,67553,70749,68645,69177,72393,71842,72634,70745,74455,70169,75788,75789,73878,69820,70420,74450,67389,70421,70422,72396,71835,71612,71360,68383,71836,70916,71359,68387,74744,74750,71614,71358,74746,75458,74752,74168,74169,75465,72120
européen	148	70921,67939,73434,70920,74749,74167,72113,73432,69534,72114,71838,73430,75069,72934,71839,67557,68274,69181,73683,69817,70163,75797,72629,67554,68277,69815,67804,72400,67555,69178,69811,70164,69179,69812,67803,75792,68884,68645,72392,69177,73884,72393,70751,72636,67944,69821,68281,70424,67945,71841,70752,70420,76508,68642,72630,73880,68278,67943,69538,70914,75065,75064,71835,70917,68383,75463,71361,75063,68386,75466,71358,74746,74168,74169,68385,71617
or	147	73186,68389,68638,75457,74173,72932,73184,74172,69533,72113,73433,71621,69534,72114,73183,73430,75069,72935,72934,76207,73431,72115,70163,67387,76507,67556,72629,67554,67795,67390,75794,74449,76510,70161,72399,67794,68886,69811,73684,68273,68887,67383,75792,70167,67802,73877,68884,67553,70749,72635,69177,68644,70745,70747,72636,70425,69821,68281,74455,75788,73878,73688,70746,68643,67558,70420,69818,67388,70421,67798,70743,68642,72630,70423,74452,68279,67943,72396,72631,68641,69538,70914,75065,72939,75070,71612,75460,72119,75462,70916,71361,71359,74745,73189,67937,75458,74169,68385
